time,rtt,throughput,loss_rate,latency
12:12:35,47.7,0.97,0.0047,32.1
12:12:37,83.72,1.9,0.0071,46.27
12:12:38,59.41,3.68,0.044,55.48
12:12:39,86.16,4.5,0.0107,20.25
12:12:40,88.94,3.59,0.0016,23.88
12:12:41,59.09,1.02,0.0268,39.99
12:12:42,37.57,4.97,0.0395,15.41
12:12:43,76.5,4.0,0.0003,55.56
12:12:44,63.34,1.32,0.0237,14.82
12:12:45,43.04,1.73,0.0433,12.54
12:12:46,28.72,2.4,0.0084,56.9
12:12:47,99.01,0.74,0.0445,48.39
12:12:48,61.43,4.92,0.023,37.97
12:12:49,97.02,0.68,0.0377,39.36
12:12:50,35.85,0.51,0.0209,24.36
12:12:51,49.43,2.9,0.0409,24.2
12:12:52,84.74,1.52,0.0437,45.05
12:12:53,59.19,2.43,0.0292,43.19
12:12:54,24.97,3.61,0.0407,10.1
12:12:55,46.4,2.5,0.0387,37.56
12:12:56,66.48,1.53,0.0194,31.79
12:12:57,71.63,2.03,0.0361,44.77
12:12:58,71.89,4.49,0.0441,42.01
12:12:59,32.17,2.56,0.0465,19.73
12:13:00,47.9,1.23,0.0228,24.18
12:13:01,60.82,1.64,0.0423,46.26
12:13:02,98.15,2.06,0.0191,18.7
12:13:03,68.02,2.81,0.0239,59.62
12:13:04,40.49,1.83,0.0136,14.69
12:13:05,34.62,4.52,0.0118,39.7
12:13:06,89.22,2.59,0.0225,38.82
12:13:07,42.16,1.37,0.0191,42.11
12:13:08,62.7,0.51,0.0451,43.4
12:13:09,99.63,3.18,0.0279,24.26
12:13:10,67.71,1.92,0.0316,18.12
12:13:11,26.25,1.32,0.026,42.6
12:13:12,96.52,1.5,0.0145,18.0
12:13:13,98.02,1.47,0.0484,50.29
12:13:14,39.57,2.21,0.0094,46.64
12:13:15,40.88,3.12,0.0415,30.43
12:13:16,66.31,3.28,0.0394,16.41
12:13:17,42.68,1.17,0.0436,38.63
12:13:18,90.68,3.48,0.0035,35.08
12:13:19,26.36,1.35,0.0366,20.67
12:13:20,39.69,1.17,0.0382,39.12
12:13:21,52.52,4.99,0.0382,39.98
12:13:22,29.65,1.03,0.0448,48.87
12:13:23,39.51,2.3,0.0082,33.87
12:13:24,69.97,0.67,0.0384,18.27
12:13:25,30.43,1.38,0.0117,50.09
12:13:26,76.08,4.35,0.0091,58.34
12:13:27,24.22,1.93,0.0241,15.98
12:13:28,76.65,3.68,0.0174,42.24
12:13:29,27.25,2.63,0.0155,35.74
12:13:30,61.36,3.88,0.0382,27.38
12:13:31,89.91,4.39,0.0003,47.11
12:13:32,32.53,1.33,0.0489,30.02
12:13:33,60.27,0.72,0.0018,43.66
12:13:34,95.46,0.6,0.0353,28.45
12:13:35,30.33,4.36,0.0409,11.54
