time,rtt,throughput,loss_rate,latency
11:22:29,84.95,0.56,0.0381,50.26
11:22:30,66.24,4.69,0.0403,12.79
11:22:31,42.13,3.43,0.0126,13.27
11:22:32,91.1,1.59,0.0119,28.09
11:22:33,76.49,1.36,0.0424,45.21
11:22:34,59.57,2.35,0.0131,25.19
11:22:35,24.95,2.47,0.0225,39.41
11:22:36,26.56,3.75,0.0358,47.79
11:22:37,65.76,3.1,0.0119,47.68
11:22:38,69.36,3.92,0.0335,41.34
11:22:39,98.94,1.73,0.0072,54.15
11:22:40,37.74,2.45,0.046,50.93
11:22:41,47.3,3.73,0.0045,34.76
11:22:42,73.27,2.35,0.0178,42.25
11:22:43,35.42,1.67,0.0428,57.58
11:22:44,83.24,3.54,0.034,31.51
11:22:45,69.27,2.96,0.0296,33.42
11:22:46,95.05,3.31,0.0472,14.2
11:22:47,94.28,4.5,0.0257,46.66
11:22:48,55.37,4.76,0.0098,42.41
11:22:49,80.77,3.76,0.0421,45.54
11:22:50,79.72,1.14,0.0004,56.31
11:22:51,24.41,4.7,0.03,38.55
11:22:52,51.68,3.32,0.0375,48.13
11:22:53,84.58,2.56,0.0002,10.83
11:22:54,30.94,1.94,0.0371,30.43
11:22:55,27.65,3.75,0.0005,13.92
11:22:56,37.98,1.48,0.0215,13.16
11:22:57,71.34,0.78,0.0285,44.63
11:22:58,28.32,4.17,0.0193,30.31
11:22:59,36.06,4.24,0.0409,52.41
11:23:00,37.15,1.24,0.0112,35.17
11:23:01,51.46,2.06,0.0082,10.39
11:23:02,50.7,0.95,0.025,47.0
11:23:03,40.38,1.61,0.0275,10.96
11:23:04,85.17,3.08,0.0072,15.91
11:23:05,24.65,1.0,0.016,44.82
11:23:06,74.05,2.81,0.0203,48.23
11:23:07,94.38,2.44,0.0121,53.06
11:23:08,58.89,4.19,0.0229,49.24
11:23:09,29.34,0.68,0.0465,20.13
11:23:10,24.79,2.5,0.0137,44.42
11:23:11,63.84,4.65,0.0044,54.38
11:23:12,37.27,2.15,0.0394,54.36
11:23:13,23.92,3.01,0.0249,51.74
11:23:14,21.77,4.71,0.0044,53.42
11:23:15,96.64,1.38,0.0344,51.93
11:23:16,57.74,2.76,0.0053,55.38
11:23:17,40.18,3.44,0.0381,35.86
11:23:18,56.65,3.42,0.0013,16.72
11:23:19,90.74,1.74,0.0433,29.36
11:23:20,56.66,2.61,0.0499,21.0
11:23:21,81.66,0.65,0.0008,55.82
11:23:22,30.54,2.83,0.0033,56.86
11:23:23,80.15,0.74,0.0114,45.73
11:23:24,64.64,4.7,0.0273,32.31
11:23:25,53.0,3.72,0.0451,29.64
11:23:26,38.5,3.86,0.0373,10.39
11:23:27,73.43,1.32,0.0146,25.21
11:23:28,85.95,1.17,0.0003,12.92
