time,rtt,throughput,loss_rate,latency
11:20:25,99.69,4.17,0.0081,50.2
11:20:26,52.84,4.02,0.0425,29.18
11:20:27,39.01,3.52,0.0359,34.98
11:20:28,67.12,1.82,0.0276,22.97
11:20:29,52.2,3.68,0.0164,56.11
11:20:30,99.0,3.93,0.0154,37.52
11:20:31,42.04,1.08,0.0435,12.98
11:20:33,20.5,1.17,0.0285,16.98
11:20:34,45.62,3.45,0.0161,23.81
11:20:35,56.46,1.77,0.0276,26.13
11:20:36,67.61,1.99,0.0258,15.86
11:20:37,48.9,4.81,0.0076,24.55
11:20:38,54.41,4.06,0.0295,23.04
11:20:39,23.5,1.02,0.022,27.25
11:20:40,68.34,2.84,0.0351,46.91
11:20:41,29.51,4.89,0.0161,42.55
11:20:42,41.95,4.4,0.0376,21.41
11:20:43,93.18,4.37,0.0332,54.9
11:20:44,50.61,3.2,0.0247,24.7
11:20:45,44.16,2.48,0.027,53.08
11:20:46,55.64,4.67,0.0033,44.02
11:20:47,85.8,3.14,0.0312,59.36
11:20:48,61.52,2.2,0.0056,31.84
11:20:49,35.34,0.83,0.0057,17.09
11:20:50,31.28,4.02,0.0279,54.05
11:20:51,97.4,3.38,0.0059,28.27
11:20:52,95.79,2.47,0.0128,55.66
11:20:53,94.31,4.6,0.0304,34.81
11:20:54,53.9,2.45,0.0353,52.54
11:20:55,86.76,4.59,0.0012,18.92
11:20:56,28.84,0.54,0.0492,50.35
11:20:57,29.59,1.45,0.0335,53.29
11:20:58,47.85,3.48,0.0243,57.08
11:20:59,40.71,4.17,0.0221,51.96
11:21:00,57.44,1.56,0.0047,50.58
11:21:01,83.18,0.98,0.0129,36.94
11:21:02,31.44,2.52,0.0298,48.6
11:21:03,54.76,3.94,0.0205,54.11
11:21:04,35.36,3.07,0.0336,38.3
11:21:05,29.16,1.24,0.0222,54.12
11:21:06,49.44,2.37,0.0276,30.0
11:21:07,22.54,2.99,0.0301,11.59
11:21:08,44.8,4.67,0.0136,44.39
11:21:09,79.1,0.88,0.0238,13.5
11:21:10,27.31,0.64,0.0287,11.66
11:21:11,55.15,0.93,0.0105,51.52
11:21:12,24.99,3.08,0.049,47.23
11:21:13,30.53,4.73,0.0221,56.26
11:21:14,54.5,4.82,0.0479,46.35
11:21:15,52.99,3.08,0.003,56.24
11:21:16,59.82,3.41,0.0493,22.01
11:21:17,51.47,3.38,0.0445,16.52
11:21:18,70.51,2.28,0.0007,25.06
11:21:19,81.0,2.17,0.0277,52.98
11:21:20,95.65,3.85,0.0099,51.55
11:21:21,61.37,4.08,0.034,49.0
11:21:22,88.1,4.64,0.0265,18.68
11:21:23,20.25,0.7,0.0057,37.93
11:21:24,79.34,3.08,0.0248,47.59
11:21:25,88.15,3.54,0.0043,24.29
