time,rtt,throughput,loss_rate,latency
12:14:39,50.81,4.94,0.0164,29.34
12:14:40,22.42,4.74,0.0351,34.66
12:14:41,53.04,1.15,0.0023,54.03
12:14:42,48.68,1.7,0.0365,55.98
12:14:43,43.74,3.98,0.0482,13.47
12:14:44,41.31,4.57,0.0233,16.79
12:14:45,60.98,4.1,0.0431,33.4
12:14:46,86.55,4.77,0.0301,43.73
12:14:47,96.97,2.44,0.0326,37.55
12:14:48,78.35,4.05,0.0223,15.64
12:14:49,28.99,4.47,0.0209,16.59
12:14:50,89.67,3.04,0.0037,43.99
12:14:51,40.63,2.89,0.0248,10.22
12:14:52,67.57,1.93,0.0283,47.55
12:14:53,79.72,2.81,0.0494,35.21
12:14:54,32.57,2.49,0.0436,56.35
12:14:55,70.11,0.9,0.0092,50.03
12:14:56,35.83,1.01,0.0281,12.83
12:14:57,99.33,2.51,0.0234,23.76
12:14:58,31.64,0.78,0.0194,10.15
12:14:59,90.62,3.83,0.0077,22.31
12:15:00,58.78,4.63,0.0077,50.1
12:15:01,63.49,1.01,0.023,19.79
12:15:02,25.4,4.14,0.0336,19.19
12:15:03,74.66,0.86,0.0379,50.52
12:15:04,33.48,4.78,0.0363,57.37
12:15:05,48.28,1.86,0.0263,12.16
12:15:06,44.78,1.89,0.0369,20.61
12:15:07,54.09,2.51,0.0256,24.1
12:15:08,44.52,4.14,0.0468,41.84
12:15:09,67.08,2.66,0.0424,43.78
12:15:10,46.59,4.48,0.0004,28.2
12:15:11,90.37,2.12,0.036,21.19
12:15:12,79.3,3.39,0.02,19.26
12:15:13,92.07,2.37,0.0131,53.81
12:15:14,48.07,2.35,0.0389,49.1
12:15:15,41.99,1.51,0.0331,47.75
12:15:16,71.44,4.66,0.0052,31.04
12:15:17,63.93,2.79,0.0449,19.22
12:15:18,83.17,1.51,0.0162,23.97
12:15:19,55.27,2.4,0.0251,11.81
12:15:20,81.33,4.39,0.0344,46.72
12:15:21,62.4,4.52,0.0445,30.91
12:15:22,97.53,3.51,0.0138,59.05
12:15:23,60.87,2.99,0.0341,57.42
12:15:24,95.16,3.9,0.0167,56.81
12:15:25,27.68,3.41,0.0495,52.84
12:15:26,63.66,1.89,0.0222,15.29
12:15:27,68.79,2.73,0.0101,37.83
12:15:28,51.38,0.7,0.0453,25.02
12:15:29,68.96,3.69,0.0463,24.08
12:15:30,21.23,1.22,0.018,37.21
12:15:31,93.57,4.53,0.0495,48.17
12:15:32,66.71,2.93,0.0008,32.76
12:15:33,61.9,2.97,0.0221,30.0
12:15:34,77.57,2.03,0.0132,25.06
12:15:35,94.46,2.72,0.0041,24.85
12:15:36,30.71,1.22,0.0386,28.43
12:15:37,82.4,4.75,0.0279,57.2
12:15:38,57.67,2.88,0.0101,55.56
