time,rtt,throughput,loss_rate,latency
11:28:40,93.5,4.91,0.0233,53.35
11:28:41,79.87,1.85,0.006,16.34
11:28:42,69.5,1.13,0.0315,51.99
11:28:43,96.65,4.25,0.0086,22.54
11:28:44,33.86,0.92,0.0045,47.71
11:28:45,90.94,3.96,0.0414,31.95
11:28:46,39.37,3.11,0.0263,12.42
11:28:47,56.95,2.81,0.0453,51.39
11:28:48,81.84,4.02,0.0466,44.5
11:28:49,44.2,4.37,0.0074,54.46
11:28:50,96.25,2.88,0.0206,50.72
11:28:51,41.79,3.06,0.0225,10.3
11:28:52,76.28,2.05,0.034,33.82
11:28:53,77.63,0.87,0.0236,28.42
11:28:54,64.88,3.71,0.0042,55.67
11:28:55,65.58,2.87,0.043,14.76
11:28:56,94.58,1.55,0.0069,15.32
11:28:57,39.73,4.7,0.0085,29.37
11:28:58,59.48,3.4,0.0431,18.87
11:28:59,82.38,4.98,0.0129,30.4
11:29:00,28.58,4.93,0.0431,38.72
11:29:01,40.0,4.19,0.0183,58.94
11:29:02,20.13,0.75,0.0422,14.06
11:29:03,33.89,1.1,0.0352,40.94
11:29:04,70.03,0.6,0.0314,38.94
11:29:05,47.81,2.94,0.0105,46.62
11:29:06,92.82,3.88,0.0115,14.9
11:29:07,42.1,0.61,0.0118,19.36
11:29:08,96.08,0.59,0.0172,39.7
11:29:09,33.9,3.01,0.0194,44.52
11:29:10,39.35,4.82,0.0133,38.17
11:29:11,41.08,1.32,0.0308,13.5
11:29:12,40.99,1.68,0.043,26.87
11:29:13,73.91,2.15,0.0327,35.07
11:29:14,60.58,0.74,0.0232,19.98
11:29:15,64.21,2.04,0.0222,36.83
11:29:16,51.72,2.44,0.0053,18.6
11:29:17,25.4,4.81,0.0184,19.9
11:29:18,84.23,3.82,0.0014,23.24
11:29:19,30.08,3.21,0.0478,37.28
11:29:20,43.91,4.55,0.0074,28.51
11:29:21,20.66,4.72,0.0283,39.33
11:29:22,52.89,4.27,0.0102,54.94
11:29:23,95.29,0.86,0.0136,58.32
11:29:24,95.8,4.42,0.0426,22.33
11:29:25,47.56,2.43,0.0111,32.93
11:29:26,51.68,4.02,0.0375,14.29
11:29:27,54.7,1.96,0.0345,49.34
11:29:28,97.13,2.73,0.0226,19.48
11:29:29,39.49,3.84,0.046,18.81
11:29:30,50.35,3.37,0.0242,13.55
11:29:31,97.06,1.06,0.0221,17.0
11:29:32,86.65,2.21,0.0495,24.96
11:29:33,59.17,4.23,0.0385,30.98
11:29:34,60.91,4.26,0.0186,47.45
11:29:35,46.93,1.09,0.0305,39.6
11:29:36,66.89,1.38,0.0385,27.11
11:29:37,63.21,4.89,0.0311,14.75
11:29:38,86.47,2.56,0.0324,14.28
11:29:39,49.58,3.7,0.0227,56.94
