time,rtt,throughput,loss_rate,latency
12:10:32,41.21,0.9,0.0008,10.06
12:10:33,43.98,1.32,0.0265,27.01
12:10:34,71.28,4.63,0.0199,41.44
12:10:35,94.58,0.51,0.0363,43.92
12:10:36,46.46,4.22,0.0368,37.97
12:10:37,40.2,2.86,0.0231,45.48
12:10:38,93.88,2.66,0.0483,13.59
12:10:39,83.98,3.38,0.0252,44.43
12:10:40,86.87,1.14,0.013,14.51
12:10:41,58.25,3.49,0.0041,39.92
12:10:42,71.08,3.77,0.0185,48.89
12:10:43,41.82,3.05,0.0351,46.25
12:10:44,40.86,4.9,0.0118,56.91
12:10:45,44.47,3.24,0.0352,36.3
12:10:46,48.99,1.31,0.0438,15.15
12:10:47,43.87,4.11,0.0227,14.61
12:10:48,35.25,0.67,0.0479,15.0
12:10:49,99.73,4.6,0.0396,11.15
12:10:50,23.77,1.97,0.0311,36.9
12:10:51,66.75,2.51,0.0278,19.68
12:10:52,78.74,2.23,0.0165,21.17
12:10:53,89.6,2.65,0.0448,36.07
12:10:54,54.43,2.47,0.0058,10.64
12:10:55,36.92,3.17,0.049,52.33
12:10:56,28.45,2.45,0.018,23.19
12:10:57,34.8,1.64,0.0104,39.49
12:10:58,75.91,3.55,0.0383,57.09
12:10:59,34.41,1.57,0.0301,18.44
12:11:00,98.24,3.65,0.0162,22.47
12:11:01,35.04,1.44,0.0087,47.87
12:11:02,97.76,3.06,0.0493,23.91
12:11:03,45.28,2.65,0.0303,52.3
12:11:04,97.85,3.92,0.0202,51.48
12:11:05,69.92,0.81,0.0004,14.44
12:11:06,55.32,1.55,0.0085,56.53
12:11:07,39.83,3.81,0.033,44.53
12:11:08,44.64,4.16,0.017,13.85
12:11:09,44.89,3.49,0.0402,21.72
12:11:10,77.33,1.0,0.025,38.5
12:11:11,30.53,2.65,0.0367,56.96
12:11:12,54.46,3.97,0.0364,57.49
12:11:13,31.34,2.19,0.0386,37.16
12:11:14,62.92,3.96,0.0302,50.21
12:11:15,96.63,2.43,0.0499,13.63
12:11:16,41.12,3.05,0.023,51.22
12:11:17,65.33,4.24,0.0449,58.79
12:11:18,21.91,4.06,0.0099,12.02
12:11:19,58.84,1.87,0.0142,32.99
12:11:20,39.73,1.6,0.0011,39.71
12:11:21,52.25,3.17,0.0284,53.22
12:11:22,46.48,4.29,0.0267,55.34
12:11:23,93.93,4.84,0.0325,39.83
12:11:24,74.11,1.13,0.0113,56.56
12:11:25,81.97,3.08,0.0209,10.19
12:11:26,66.89,2.01,0.0159,12.12
12:11:27,88.84,3.59,0.0382,44.79
12:11:28,75.19,2.84,0.0296,16.04
12:11:29,91.82,2.37,0.0405,41.1
12:11:30,58.61,3.87,0.01,38.17
12:11:31,66.92,2.65,0.022,39.38
